Year,Community Area,Crimes
2005,45,2384
2005,46,8285
2005,47,715
2005,48,2339
2005,49,11675
2005,50,1820
2005,51,2523
2005,52,2291
2005,53,7937
2005,54,2008
2005,55,928
2005,56,4107
2005,57,1614
2005,58,4439
2005,59,1908
2005,60,3131
2005,61,9648
2005,62,1620
2005,63,4327
2005,64,1822
2005,65,3233
2005,66,11517
2005,67,13674
2005,68,12197
2005,69,11207
2005,70,4029
2005,71,12818
2005,72,1744
2005,73,5336
2005,74,1046
2005,75,3563
2005,76,2076
2005,77,5015
2006,,49
2006,0,12
2006,1,7207
2006,2,6052
2006,3,6806
2006,4,3285
2006,5,2822
2006,6,7842
2006,7,6665
2006,8,14222
2006,9,437
2006,10,1822
2006,11,1804
2006,12,786
2006,13,1558
2006,14,4092
2006,15,5445
2006,16,5067
2006,17,2487
2006,18,1004
2006,19,7883
2006,20,2740
2006,21,4168
2006,22,9599
2006,23,13714
2006,24,13013
2006,25,28894
2006,26,8414
2006,27,8615
2006,28,12147
2006,29,12079
2006,30,7437
2006,31,4336
2006,32,8731
2006,33,4435
2006,34,1631
2006,35,6181
2006,36,801
2006,37,1521
2006,38,6022
2006,39,2359
2006,40,5193
2006,41,2681
2006,42,7893
2006,43,14835
2006,44,9108
2006,45,2317
2006,46,8966
2006,47,668
2006,48,2359
2006,49,12273
2006,50,1691
2006,51,2571
2006,52,2203
2006,53,7660
2006,54,1619
2006,55,965
2006,56,4214
2006,57,1648
2006,58,4647
2006,59,2003
2006,60,2975
2006,61,10063
2006,62,1744
2006,63,4104
2006,64,1824
2006,65,3558
2006,66,11737
2006,67,13710
2006,68,12311
2006,69,10968
2006,70,4305
2006,71,12155
2006,72,1529
2006,73,5555
2006,74,952
2006,75,3639
2006,76,2519
2006,77,4723
2007,,158
2007,0,6
2007,1,6807
2007,2,5269
2007,3,6395
2007,4,2845
2007,5,2634
2007,6,8003
2007,7,6915
2007,8,13882
2007,9,419
2007,10,1780
2007,11,1621
2007,12,745
2007,13,1502
2007,14,3706
2007,15,5345
2007,16,4707
2007,17,2693
2007,18,1063
2007,19,8034
2007,20,2629
2007,21,3885
2007,22,9194
2007,23,13056
2007,24,12342
2007,25,28535
2007,26,7936
2007,27,8412
2007,28,11613
2007,29,11347
2007,30,7699
2007,31,4307
2007,32,8715
2007,33,3648
2007,34,1223
2007,35,5468
2007,36,944
2007,37,1418
2007,38,5347
2007,39,2455
2007,40,4477
2007,41,2600
2007,42,8019
2007,43,14272
2007,44,9643
2007,45,2257
2007,46,8842
2007,47,735
2007,48,2349
2007,49,12619
2007,50,1952
2007,51,2740
2007,52,2099
2007,53,8049
2007,54,1529
2007,55,859
2007,56,3992
2007,57,1731
2007,58,4213
2007,59,1788
2007,60,2607
2007,61,9725
2007,62,1684
2007,63,3917
2007,64,1931
2007,65,3209
2007,66,11335
2007,67,13561
2007,68,12395
2007,69,11283
2007,70,4234
2007,71,13327
2007,72,1552
2007,73,5412
2007,74,963
2007,75,3655
2007,76,2466
2007,77,4246
2008,,243
2008,0,11
2008,1,6497
2008,2,5470
2008,3,6001
2008,4,2784
2008,5,2593
2008,6,8215
2008,7,6821
2008,8,13513
2008,9,473
2008,10,2002
2008,11,1777
2008,12,798
2008,13,1542
2008,14,3821
2008,15,5731
2008,16,4909
2008,17,2943
2008,18,1018
2008,19,8055
2008,20,2485
2008,21,3950
2008,22,8928
2008,23,13265
2008,24,12729
2008,25,27260
2008,26,7427
2008,27,7924
2008,28,11590
2008,29,11411
2008,30,7340
2008,31,4072
2008,32,8732
2008,33,3866
2008,34,1354
2008,35,4227
2008,36,960
2008,37,1405
2008,38,5388
2008,39,2334
2008,40,4233
2008,41,2244
2008,42,7140
2008,43,14250
2008,44,9245
2008,45,2333
2008,46,8016
2008,47,744
2008,48,2294
2008,49,12283
2008,50,1702
2008,51,2694
2008,52,2174
2008,53,7139
2008,54,1397
2008,55,971
2008,56,3658
2008,57,1584
2008,58,4174
2008,59,1794
2008,60,2659
2008,61,8974
2008,62,1727
2008,63,3971
2008,64,1907
2008,65,3274
2008,66,11267
2008,67,13540
2008,68,12437
2008,69,10501
2008,70,4315
2008,71,12888
2008,72,1656
2008,73,5025
2008,74,944
2008,75,3460
2008,76,2356
2008,77,4168
2009,,219
2009,0,5
2009,1,5959
2009,2,5228
2009,3,5188
2009,4,2639
2009,5,2432
2009,6,7761
2009,7,6118
2009,8,12277
2009,9,386
2009,10,1713
2009,11,1509
2009,12,751
2009,13,1311
2009,14,3582
2009,15,5293
2009,16,4661
2009,17,2696
2009,18,1098
2009,19,8315
2009,20,2472
2009,21,3874
2009,22,8694
2009,23,12772
2009,24,11794
2009,25,26036
2009,26,6395
2009,27,7169
2009,28,10363
2009,29,10426
2009,30,6324
2009,31,3652
2009,32,8067
2009,33,2268
2009,34,1240
2009,35,3174
2009,36,857
2009,37,1159
2009,38,5298
2009,39,2318
2009,40,4232
2009,41,2099
2009,42,6887
2009,43,13066
2009,44,8348
2009,45,2016
2009,46,7596
2009,47,609
2009,48,2111
2009,49,11325
2009,50,1487
2009,51,2577
2009,52,2091
2009,53,6755
2009,54,1402
2009,55,819
2009,56,3278
2009,57,1651
2009,58,3891
2009,59,1759
2009,60,2543
2009,61,8199
2009,62,1621
2009,63,3947
2009,64,1660
2009,65,3097
2009,66,10456
2009,67,11527
2009,68,10720
2009,69,9695
2009,70,3738
2009,71,11768
2009,72,1407
2009,73,4718
2009,74,895
2009,75,3372
2009,76,2132
2009,77,3612
2010,,186
2010,0,3
2010,1,5576
2010,2,4881
2010,3,5074
2010,4,2560
2010,5,2062
2010,6,7459
2010,7,5795
2010,8,11594
2010,9,305
2010,10,1444
2010,11,1398
2010,12,695
2010,13,1188
2010,14,3547
2010,15,4639
2010,16,4529
2010,17,2350
2010,18,899
2010,19,7588
2010,20,2415
2010,21,3743
2010,22,8165
2010,23,11829
2010,24,11360
2010,25,24295
2010,26,6377
2010,27,6960
2010,28,9808
2010,29,10850
2010,30,6288
2010,31,3493
2010,32,7840
2010,33,1999
2010,34,1368
2010,35,2932
2010,36,860
2010,37,1215
2010,38,4680
2010,39,2297
2010,40,4053
2010,41,2237
2010,42,6486
2010,43,12324
2010,44,7513
2010,45,1831
2010,46,6780
2010,47,459
2010,48,2098
2010,49,10378
2010,50,1374
2010,51,2622
2010,52,1854
2010,53,5977
2010,54,1396
2010,55,765
2010,56,2589
2010,57,1356
2010,58,3531
2010,59,1485
2010,60,2448
2010,61,7737
2010,62,1395
2010,63,3945
2010,64,1399
2010,65,2770
2010,66,10516
2010,67,11222
2010,68,10164
2010,69,9370
2010,70,3473
2010,71,10665
2010,72,1286
2010,73,4548
2010,74,916
2010,75,3159
2010,76,1894
2010,77,3671
2011,,181
2011,0,5
2011,1,5120
2011,2,4421
2011,3,4777
2011,4,2315
2011,5,1946
2011,6,7527
2011,7,5283
2011,8,11229
2011,9,369
2011,10,1447
2011,11,1300
2011,12,604
2011,13,1116
2011,14,3096
2011,15,4391
2011,16,4309
2011,17,2159
2011,18,851
2011,19,6872
2011,20,2061
2011,21,3372
2011,22,7331
2011,23,11151
2011,24,10139
2011,25,22713
2011,26,6281
2011,27,6410
2011,28,9668
2011,29,10008
2011,30,6017
2011,31,3446
2011,32,7605
2011,33,1767
2011,34,1442
2011,35,2699
2011,36,794
2011,37,1189
2011,38,4739
2011,39,2071
2011,40,4008
2011,41,2161
2011,42,5707
2011,43,12088
2011,44,7303
2011,45,1958
2011,46,6767
2011,47,456
2011,48,2220
2011,49,9916
2011,50,1191
2011,51,2511
2011,52,1870
2011,53,5906
2011,54,1530
2011,55,822
2011,56,2554
2011,57,1286
2011,58,3712
2011,59,1429
2011,60,2329
2011,61,7731
2011,62,1487
2011,63,3739
2011,64,1339
2011,65,2680
2011,66,9960
2011,67,10823
2011,68,9328
2011,69,8924
2011,70,3136
2011,71,10262
2011,72,1238
2011,73,4158
2011,74,727
2011,75,2907
2011,76,1938
2011,77,3338
2012,,26
2012,0,6
2012,1,4925
2012,2,4029
2012,3,4976
2012,4,2338
2012,5,1920
2012,6,7695
2012,7,5010
2012,8,11284
2012,9,323
2012,10,1465
2012,11,1410
2012,12,600
2012,13,1082
2012,14,2945
2012,15,4159
2012,16,3935
2012,17,1930
2012,18,781
2012,19,6362
2012,20,2050
2012,21,3276
2012,22,6793
2012,23,11211
2012,24,9684
2012,25,21342
2012,26,6674
2012,27,6186
2012,28,9413
2012,29,10390
2012,30,5778
2012,31,3292
2012,32,7773
2012,33,1863
2012,34,1539
2012,35,2772
2012,36,771
2012,37,1225
2012,38,4113
2012,39,1794
2012,40,3467
2012,41,1920
2012,42,5403
2012,43,11610
2012,44,7236
2012,45,1805
2012,46,6541
2012,47,536
2012,48,1923
2012,49,9026
2012,50,1262
2012,51,2293
2012,52,1745
2012,53,5748
2012,54,1586
2012,55,739
2012,56,2467
2012,57,1195
2012,58,3190
2012,59,1339
2012,60,2167
2012,61,6814
2012,62,1368
2012,63,3238
2012,64,1278
2012,65,2448
2012,66,8589
2012,67,9985
2012,68,9091
2012,69,8724
2012,70,2820
2012,71,9417
2012,72,1205
2012,73,3963
2012,74,707
2012,75,2711
2012,76,1832
2012,77,3274
2013,,4
2013,0,3
2013,1,4429
2013,2,3806
2013,3,4286
2013,4,2217
2013,5,1723
2013,6,6824
2013,7,4479
2013,8,10108
2013,9,298
2013,10,1229
2013,11,1336
2013,12,443
2013,13,916
2013,14,2689
2013,15,3971
2013,16,3490
2013,17,1830
2013,18,634
2013,19,5708
2013,20,1965
2013,21,2672
2013,22,5852
2013,23,10254
2013,24,8207
2013,25,20229
2013,26,6675
2013,27,6271
2013,28,8507
2013,29,9788
2013,30,5107
2013,31,3076
2013,32,7784
2013,33,1812
2013,34,1293
2013,35,2787
2013,36,712
2013,37,1076
2013,38,3996
2013,39,1593
2013,40,3371
2013,41,1665
2013,42,4749
2013,43,10578
2013,44,7155
2013,45,1641
2013,46,5829
2013,47,471
2013,48,1614
2013,49,8154
2013,50,1148
2013,51,2186
2013,52,1499
2013,53,5151
2013,54,1493
2013,55,715
2013,56,2107
2013,57,1200
2013,58,2895
2013,59,1278
2013,60,1891
2013,61,5999
2013,62,1292
2013,63,2824
2013,64,1115
2013,65,2249
2013,66,7291
2013,67,9013
2013,68,8195
2013,69,7724
2013,70,2814
2013,71,8575
2013,72,1021
2013,73,3906
2013,74,626
2013,75,2492
2013,76,2132
2013,77,2715
2014,0,2
2014,1,3800
2014,2,3408
2014,3,3810
2014,4,1897
2014,5,1540
2014,6,5694
2014,7,4086
2014,8,8985
2014,9,243
2014,10,1253
2014,11,1231
2014,12,461
2014,13,872
2014,14,2400
2014,15,3386
2014,16,2845
2014,17,1568
2014,18,525
2014,19,4964
2014,20,1788
2014,21,2369
2014,22,5096
2014,23,9202
2014,24,7339
2014,25,18752
2014,26,6205
2014,27,5794
2014,28,7890
2014,29,8682
2014,30,4765
2014,31,2705
2014,32,7288
2014,33,1778
2014,34,1224
2014,35,2559
2014,36,641
2014,37,931
2014,38,3492
2014,39,1497
2014,40,2937
2014,41,1416
2014,42,4177
2014,43,9271
2014,44,6264
2014,45,1501
2014,46,5239
2014,47,402
2014,48,1586
2014,49,7372
2014,50,1219
2014,51,2253
2014,52,1386
2014,53,4368
2014,54,1382
2014,55,626
2014,56,1929
2014,57,1056
2014,58,2910
2014,59,1057
2014,60,1803
2014,61,5258
2014,62,1014
2014,63,2624
2014,64,999
2014,65,2103
2014,66,6482
2014,67,7602
2014,68,7102
2014,69,6741
2014,70,2568
2014,71,7984
2014,72,902
2014,73,3192
2014,74,670
2014,75,2145
2014,76,2011
2014,77,2331
2015,0,2
2015,1,3583
2015,2,3103
2015,3,3656
2015,4,1769
2015,5,1393
2015,6,5584
2015,7,3757
2015,8,9062
2015,9,257
2015,10,1275
2015,11,1156
2015,12,448
2015,13,842
2015,14,2527
2015,15,3442
2015,16,3014
2015,17,1660
2015,18,587
2015,19,4828
2015,20,1730
2015,21,2261
2015,22,4797
2015,23,8177
2015,24,7071
2015,25,17336
2015,26,6019
2015,27,5440
2015,28,7931
2015,29,8377
2015,30,4447
2015,31,2525
2015,32,7588
2015,33,1876
2015,34,1083
2015,35,2518
2015,36,631
2015,37,842
2015,38,3141
2015,39,1365
2015,40,2763
2015,41,1510
2015,42,3739
2015,43,9067
2015,44,6031
2015,45,1385
2015,46,5079
2015,47,388
2015,48,1481
2015,49,6626
2015,50,1046
2015,51,1920
2015,52,1316
2015,53,4001
2015,54,1186
2015,55,513
2015,56,1850
2015,57,996
2015,58,2755
2015,59,1082
2015,60,1613
2015,61,4985
2015,62,1035
2015,63,2363
2015,64,936
2015,65,2049
2015,66,6210
2015,67,7526
2015,68,7234
2015,69,6762
2015,70,2312
2015,71,7832
2015,72,988
2015,73,3158
2015,74,616
2015,75,2077
2015,76,1733
2015,77,2254
2016,1,3661
2016,2,3276
2016,3,3562
2016,4,1984
2016,5,1398
2016,6,6068
2016,7,4241
2016,8,10547
2016,9,305
2016,10,1319
2016,11,1071
2016,12,572
2016,13,972
2016,14,2410
2016,15,3236
2016,16,2984
2016,17,1752
2016,18,670
2016,19,4759
2016,20,1547
2016,21,2281
2016,22,5453
2016,23,7999
2016,24,8230
2016,25,16681
2016,26,5772
2016,27,5016
2016,28,9446
2016,29,8766
2016,30,4685
2016,31,2612
2016,32,9016
2016,33,1933
2016,34,1011
2016,35,2597
2016,36,698
2016,37,925
2016,38,3284
2016,39,1405
2016,40,2696
2016,41,1759
2016,42,3604
2016,43,8162
2016,44,6233
2016,45,1306
2016,46,4780
2016,47,398
2016,48,1410
2016,49,6859
2016,50,1206
2016,51,1884
2016,52,1330
2016,53,3876
2016,54,1271
2016,55,584
2016,56,2102
2016,57,879
2016,58,2632
2016,59,1036
2016,60,1690
2016,61,4923
2016,62,1096
2016,63,2351
2016,64,965
2016,65,2137
2016,66,5815
2016,67,6989
2016,68,6271
2016,69,6590
2016,70,2714
2016,71,7582
2016,72,982
2016,73,3202
2016,74,607
2016,75,1986
2016,76,1769
2016,77,2381
2017,0,1
2017,1,3832
2017,2,3280
2017,3,3266
2017,4,1817
2017,5,1301
2017,6,5280
2017,7,4074
2017,8,11192
2017,9,253
2017,10,985
2017,11,947
2017,12,491
2017,13,892
2017,14,2245
2017,15,3093
2017,16,2770
2017,17,1401
2017,18,551
2017,19,4179
2017,20,1410
2017,21,2133
2017,22,4721
2017,23,7466
2017,24,7678
2017,25,14160
2017,26,5024
2017,27,4422
2017,28,8261
2017,29,8344
2017,30,4188
2017,31,2423
2017,32,9721
2017,33,1767
2017,34,951
2017,35,2416
2017,36,630
2017,37,819
2017,38,3149
2017,39,1370
2017,40,2489
2017,41,1569
2017,42,3566
2017,43,7963
2017,44,5865
2017,45,1183
2017,46,4198
2017,47,337
2017,48,1257
2017,49,6410
2017,50,1003
2017,51,1598
2017,52,1114
2017,53,3695
2017,54,1242
2017,55,620
2017,56,1765
2017,57,761
2017,58,2006
2017,59,977
2017,60,1352
2017,61,4322
2017,62,929
2017,63,2126
2017,64,823
2017,65,1729
2017,66,5321
2017,67,6442
2017,68,5506
2017,69,5937
2017,70,2313
2017,71,6934
2017,72,819
2017,73,2849
2017,74,539
2017,75,1919
2017,76,1535
2017,77,2427
